error_type,loc,cc,nested_depth,params,object_params,fan_in,fan_out,halstead_volume,halstead_effort
Abstract-Type Instantiation,8.658206429780034,2.8409475465313028,0.43316412859560066,1.2588832487309645,1.0287648054145515,1.4534686971235196,1.143824027072758,356.3238578680203,12244.985600676819
Access Control,8.521621621621621,2.902702702702703,0.4594594594594595,0.8756756756756757,0.6081081081081081,0.8351351351351352,1.1864864864864866,320.8821351351351,9546.74308108108
Constexpr/Enum/Assert/Literal,13.28,3.01,0.52,1.48,1.32,1.24,0.47,544.7835,26145.6433
Construction/Initialization,6.854130052724077,2.3093145869947276,0.3444639718804921,0.7451669595782073,0.5114235500878734,1.1195079086115993,1.0070298769771528,267.1861862917399,7982.186414762742
Deleted/Special Member,10.532894736842104,3.1447368421052633,0.5855263157894737,0.9802631578947368,0.75,1.256578947368421,1.138157894736842,453.5786184210526,22856.687236842106
Functions/Call Resolution,9.156118143459915,3.0,0.5063291139240507,1.3248945147679325,0.9746835443037974,0.6919831223628692,1.0759493670886076,379.3957805907173,12860.231983122363
Incomplete Type,8.632963988919668,2.7506925207756234,0.4265927977839335,0.8961218836565097,0.721606648199446,1.185595567867036,1.2714681440443214,356.9689058171745,13696.784916897508
Lexical,15.415851272015656,4.336594911937378,0.7377690802348337,1.9530332681017613,1.5146771037181996,0.8551859099804305,1.3796477495107633,612.165675146771,19723.306320939333
Linker,16.592105263157894,3.789473684210526,0.8289473684210527,2.3421052631578947,1.0,0.9605263157894737,1.2894736842105263,941.092894736842,53024.33789473685
Operator/Call,12.082474226804123,3.8350515463917527,0.6804123711340206,1.2371134020618557,1.0309278350515463,0.9278350515463918,0.9072164948453608,533.73,29428.41329896907
Override/Inheritance,11.458377239199157,3.6775553213909378,0.5900948366701791,1.2655426765015807,0.8977871443624869,1.0663856691253952,1.6564805057955743,507.5834141201264,19094.435321390938
Pointer/Reference Misuse,12.686274509803921,4.117647058823529,0.6078431372549019,1.4901960784313726,1.1176470588235294,0.7647058823529411,2.8823529411764706,546.7760784313725,19728.711568627452
Qualifier/Specifier Missuse,2.710843373493976,1.3152610441767068,0.12248995983935743,0.5321285140562249,0.21485943775100402,0.43775100401606426,0.4718875502008032,108.40134538152611,2668.3801807228915
Symbol/Lookup,9.098677517802646,2.9145473041709056,0.45218718209562564,1.1871820956256358,0.844354018311292,0.9821973550356052,0.9974567650050865,370.6365361139369,13238.650712105798
Syntactic,12.528301886792454,3.2471698113207546,0.5509433962264151,1.3716981132075472,0.9452830188679245,1.1566037735849057,1.241509433962264,765.1381509433963,65768.3069245283
Templates/Generics,8.098360655737705,2.5737704918032787,0.3442622950819672,1.2295081967213115,0.7868852459016393,0.2459016393442623,0.7049180327868853,295.15672131147545,8328.89131147541
This/Non-Static Member/Using Misuse,8.666666666666666,2.8119658119658117,0.38461538461538464,1.0085470085470085,0.7094017094017094,2.1025641025641026,0.8717948717948718,336.86418803418803,11745.713931623932
Type Conversion/Reference Binding,8.769607843137255,2.718137254901961,0.5098039215686274,1.1838235294117647,0.8921568627450981,0.9142156862745098,1.107843137254902,360.11178921568626,10262.847475490196
Type Redefinition/Redeclaration,10.72463768115942,3.0434782608695654,0.5652173913043478,1.289855072463768,0.9565217391304348,2.072463768115942,1.2173913043478262,404.67521739130433,13026.014057971013
