LLM,Project,build_fail,dist_from_mean,closest
GPT5,01_JsonBox,16,34.6702,False
GPT5,02_re2,270,26.1521,False
GPT5,03_leveldb,255,21.5493,False
GPT5,04_Catch2,554,21.8737,False
GPT5,05_glomap,61,12.2027,True
GPT5,06_ninja,57,39.8818,False
GPT5,07_tinyxml2,110,22.7653,False
GPT5,08_yaml-cpp,265,23.6803,False
GPT5,09_exiv2,1547,13.3494,False
GPT5,10_poppler,2454,12.5636,False
claude,01_JsonBox,28,60.3363,False
claude,02_re2,213,43.7845,False
claude,03_leveldb,152,15.3893,True
claude,04_Catch2,499,15.6262,False
claude,05_glomap,103,35.1609,False
claude,06_ninja,67,25.069,False
claude,07_tinyxml2,19,67.3058,False
claude,08_yaml-cpp,200,21.111,False
claude,09_exiv2,1013,31.3118,False
claude,10_poppler,2123,20.665,False
qwen2.5_coder_32b-8k,01_JsonBox,40,31.9865,False
qwen2.5_coder_32b-8k,02_re2,483,26.5736,False
qwen2.5_coder_32b-8k,03_leveldb,366,12.7089,True
qwen2.5_coder_32b-8k,04_Catch2,922,14.5417,False
qwen2.5_coder_32b-8k,05_glomap,129,18.6137,False
qwen2.5_coder_32b-8k,06_ninja,125,20.747,False
qwen2.5_coder_32b-8k,07_tinyxml2,252,25.2339,False
qwen2.5_coder_32b-8k,08_yaml-cpp,532,23.2016,False
qwen2.5_coder_32b-8k,09_exiv2,2023,16.2284,False
qwen2.5_coder_32b-8k,10_poppler,2583,22.6281,False
