LLM,Project,build_fail,dist_from_uniform,closest
GPT5,01_JsonBox,16,43.7171,False
GPT5,02_re2,270,36.3967,False
GPT5,03_leveldb,255,24.9059,True
GPT5,04_Catch2,554,25.5486,False
GPT5,05_glomap,61,40.7766,False
GPT5,06_ninja,57,52.8826,False
GPT5,07_tinyxml2,110,37.662,False
GPT5,08_yaml-cpp,265,57.7926,False
GPT5,09_exiv2,1547,36.0053,False
GPT5,10_poppler,2454,33.1669,False
claude,01_JsonBox,28,54.2053,False
claude,02_re2,213,52.996,False
claude,03_leveldb,152,45.4131,False
claude,04_Catch2,499,35.1783,False
claude,05_glomap,103,43.7123,False
claude,06_ninja,67,36.3711,False
claude,07_tinyxml2,19,54.8761,False
claude,08_yaml-cpp,200,49.8722,False
claude,09_exiv2,1013,43.213,False
claude,10_poppler,2123,29.8492,True
qwen2.5_coder_32b-8k,01_JsonBox,40,64.6971,False
qwen2.5_coder_32b-8k,02_re2,483,61.5983,False
qwen2.5_coder_32b-8k,03_leveldb,366,43.5715,True
qwen2.5_coder_32b-8k,04_Catch2,922,48.0544,False
qwen2.5_coder_32b-8k,05_glomap,129,50.4343,False
qwen2.5_coder_32b-8k,06_ninja,125,56.6409,False
qwen2.5_coder_32b-8k,07_tinyxml2,252,57.157,False
qwen2.5_coder_32b-8k,08_yaml-cpp,532,57.5637,False
qwen2.5_coder_32b-8k,09_exiv2,2023,51.5934,False
qwen2.5_coder_32b-8k,10_poppler,2583,58.7649,False
